Date,Close,High,Low,Open,Volume,Return,MA_7,MA_30,Vol_14,RSI_14,MACD,MACD_Signal,features_assembled,features,cluster,distance
2019-01-03,33.83243942260742,34.6723611316717,33.7872305754406,34.258347280967,365248800,-0.0996074563994982,36.514342716761995,39.82301139831543,0.0375325103052705,27.903552870510964,-2.1466220770866684,-2.162468453496528,"[33.83243942260742,34.6723611316717,33.7872305754406,34.258347280967,365248800.0,-0.0996074563994982,36.514342716761995,39.82301139831543,0.0375325103052705,27.903552870510964,-2.1466220770866684,-2.162468453496528]","[-1.3130702978903146,-1.3062958392894353,-1.3075053436829478,-1.3062995606155008,5.008176552472196,-5.325073488413244,-1.2700036741896499,-1.2086524878426352,2.307019540047163,-2.141754935914348,-1.1233603695443366,-1.2105887467106404]",1,7.872835202162796
2020-03-02,72.3378677368164,72.97455642499447,67.2322642492319,68.33617811747213,341397200,0.093100560507692,70.46964045933315,75.67070719401042,0.03732937545883447,46.636275554061136,-1.4842207269546606,-0.3375668239933608,"[72.3378677368164,72.97455642499447,67.2322642492319,68.33617811747213,341397200.0,0.093100560507692,70.46964045933315,75.67070719401042,0.03732937545883447,46.636275554061136,-1.4842207269546606,-0.3375668239933608]","[-0.7285699786101784,-0.7303705142447247,-0.794293110856342,-0.7884321330251529,4.562061043222633,4.8628553069941205,-0.7538053729934422,-0.6614858845630556,2.2844300844098284,-0.689555588051402,-0.8548671323252809,-0.4157432666135564]",1,6.820708160753875
2020-03-09,64.43614959716797,67.32181576257562,63.66873234822989,63.850297174318,286744800,-0.07909243155406043,69.59467424665179,74.48775889078776,0.044787425112698453,35.330936159885624,-1.8846447194807467,-1.150881338645868,"[64.43614959716797,67.32181576257562,63.66873234822989,63.850297174318,286744800.0,-0.07909243155406043,69.59467424665179,74.48775889078776,0.044787425112698453,35.330936159885624,-1.8846447194807467,-1.150881338645868]","[-0.8485155805081283,-0.8153671176630298,-0.8489753151411364,-0.856602306052106,3.5398535914076295,-4.240502043406927,-0.7671068635594913,-0.6795419908360679,3.1137968068251807,-1.5659688448390978,-1.0171722574463005,-0.7699866709799049]",1,6.455648259664859
2020-03-12,60.09311676025391,65.36333966293708,60.03743791262368,61.95960486263178,418474000,-0.09875472590170575,67.7793655395508,73.36021423339844,0.055633502456534284,33.892828808245895,-2.642966046063407,-1.6796762115013948,"[60.09311676025391,65.36333966293708,60.03743791262368,61.95960486263178,418474000.0,-0.09875472590170575,67.7793655395508,73.36021423339844,0.055633502456534284,33.892828808245895,-2.642966046063407,-1.6796762115013948]","[-0.9144414561822248,-0.8448154554316292,-0.9046973318544487,-0.8853344154552938,6.003689943729377,-5.279992034446719,-0.7947037139201167,-0.6967524353719157,4.3199265639608235,-1.6774538966112051,-1.3245450425196574,-1.00030605247016]",1,9.087420098046335
2020-03-13,67.29277038574219,67.76484191547881,61.23576640990596,64.12628289000264,370732000,0.11980829109283575,66.92272840227399,72.99600931803386,0.06525328269756818,45.45916438006605,-2.5269565852333358,-1.8491322862477833,"[67.29277038574219,67.76484191547881,61.23576640990596,64.12628289000264,370732000.0,0.11980829109283575,66.92272840227399,72.99600931803386,0.06525328269756818,45.45916438006605,-2.5269565852333358,-1.8491322862477833]","[-0.8051529733100213,-0.8087056200867132,-0.8863090458760756,-0.852408259391126,5.110733217866433,6.274817621044667,-0.8077265605567837,-0.7023115309292289,5.389686887255093,-0.780807677142484,-1.2775225603340525,-1.074113534972014]",1,9.615065656061851
2020-03-16,58.6357650756836,62.7197589173465,58.10075235573811,58.572820229839216,322423600,-0.12864688525132872,65.16898454938617,72.45884221394857,0.07313678765084919,37.06224944454913,-3.0978560741576757,-2.098877043829762,"[58.6357650756836,62.7197589173465,58.10075235573811,58.572820229839216,322423600.0,-0.12864688525132872,65.16898454938617,72.45884221394857,0.07313678765084919,37.06224944454913,-3.0978560741576757,-2.098877043829762]","[-0.9365635974549777,-0.8845652684260716,-0.9344156669778833,-0.9368020529936542,4.2071826607955645,-6.860306106910026,-0.8343874841174391,-0.7105106604189176,6.266366041685285,-1.4317538636317684,-1.5089270583433836,-1.182891174562386]",1,10.307189793312048
2020-03-17,61.21397018432617,62.36387694546927,57.7133990472889,59.91880640470083,324056000,0.04396983829433743,63.91808482578823,72.0144583384196,0.0742729449697742,40.58229774340448,-3.304170011808864,-2.3399356374255826,"[61.21397018432617,62.36387694546927,57.7133990472889,59.91880640470083,324056000.0,0.04396983829433743,63.91808482578823,72.0144583384196,0.0742729449697742,40.58229774340448,-3.304170011808864,-2.3399356374255826]","[-0.8974272529148192,-0.8899164353438247,-0.9403595825457653,-0.9163476290811713,4.237714740710496,2.265452730755376,-0.8534040251350874,-0.7172935793856258,6.39271154962339,-1.1588724501609617,-1.5925529401329341,-1.2878855098517694]",1,8.080500796380003
2020-03-18,59.71547317504883,60.52162161827789,57.403546490441286,58.04507789596301,300233600,-0.024479657254138254,63.24370247977121,71.43809051513672,0.07262115915245808,39.20966719194719,-3.5476958496054607,-2.5814876798615582,"[59.71547317504883,60.52162161827789,57.403546490441286,58.04507789596301,300233600.0,-0.024479657254138254,63.24370247977121,71.43809051513672,0.07262115915245808,39.20966719194719,-3.5476958496054607,-2.5814876798615582]","[-0.9201739673057283,-0.9176172365642971,-0.9451142532720027,-0.944821946225304,3.7921453823636027,-1.3532788504288016,-0.8636561814851774,-0.7260910548468857,6.209025967866787,-1.265281605165079,-1.6912620392666549,-1.3930947693726379]",1,7.596853166490536
2020-03-19,59.2579231262207,61.20913939432484,58.73259595357314,59.88976893183757,271857200,-0.007662169024213683,61.84098434448242,70.82553927103679,0.0726135069513912,38.778372596314185,-3.7345625828329077,-2.812102660455828,"[59.2579231262207,61.20913939432484,58.73259595357314,59.88976893183757,271857200.0,-0.007662169024213683,61.84098434448242,70.82553927103679,0.0726135069513912,38.778372596314185,-3.7345625828329077,-2.812102660455828]","[-0.9271194334733645,-0.9072794766627678,-0.9247200611428016,-0.9167889001658117,3.261398927758072,-0.4641857272994741,-0.8849807101046209,-0.735440821299911,6.208175010684594,-1.2987164528962667,-1.7670053240935777,-1.4935403342209397]",1,7.319293767768194
2020-03-20,55.49590301513672,60.96463541715743,55.195714466288855,59.83893112943769,401693200,-0.0634855207981353,60.24356024605887,70.05731824239095,0.0682002246211316,35.33666760473943,-4.138513193706316,-3.077384767105926,"[55.49590301513672,60.96463541715743,55.195714466288855,59.83893112943769,401693200.0,-0.0634855207981353,60.24356024605887,70.05731824239095,0.0682002246211316,35.33666760473943,-4.138513193706316,-3.077384767105926]","[-0.9842257182840041,-0.9109559247474396,-0.9789933162705035,-0.9175614623068554,5.689825249636945,-3.4154087335929444,-0.9092652153428802,-0.7471666765182697,5.7173993158024015,-1.5655245313978743,-1.9307399045988896,-1.6090853477233218]",1,8.941978278208504
